iter	RMSE
0	6928.468177
1	6491.657862
2	6115.1045
3	5757.591266
4	5454.919681
5	5180.352809
6	4936.669834
7	4700.369053
8	4490.645275
9	4318.392452
10	4147.40842
11	4003.584445
12	3851.544338
13	3723.316754
14	3596.179874
15	3490.995962
16	3397.448053
17	3304.242912
18	3217.169788
19	3145.100251
20	3067.537583
21	3007.74261
22	2952.020666
23	2893.915406
24	2842.294777
25	2797.232924
26	2750.256396
27	2716.225372
28	2682.589068
29	2645.639005
30	2613.620395
31	2587.331707
32	2564.486092
33	2530.785919
34	2506.876922
35	2485.109023
36	2465.922109
37	2441.664765
38	2416.006162
39	2396.59742
40	2383.054864
41	2371.137113
42	2352.405596
43	2339.630584
44	2330.03724
45	2318.298027
46	2305.168156
47	2292.284281
48	2283.114006
49	2274.151295
50	2266.201001
51	2257.369501
52	2244.904546
53	2237.217503
54	2229.154292
55	2222.376978
56	2214.676866
57	2207.069202
58	2200.239885
59	2196.520773
60	2189.3256
61	2182.097356
62	2177.308752
63	2170.350165
64	2165.728904
65	2161.020534
66	2155.029501
67	2148.902545
68	2140.852728
69	2135.727701
70	2132.324331
71	2128.662697
72	2125.684012
73	2120.153553
74	2117.479528
75	2113.932414
76	2112.146408
77	2109.539791
78	2104.923229
79	2102.273524
80	2097.865888
81	2091.492095
82	2086.630319
83	2082.236782
84	2077.758601
85	2075.37637
86	2071.08368
87	2065.161297
88	2061.312444
89	2058.819528
90	2055.414434
91	2052.397251
92	2047.629375
93	2044.450569
94	2039.729113
95	2037.753268
96	2033.811233
97	2030.123774
98	2024.847873
99	2021.317785
100	2018.990775
101	2015.849491
102	2013.427587
103	2011.210208
104	2007.707128
105	2004.020989
106	2001.566373
107	1999.196904
108	1998.062763
109	1993.703765
110	1990.612033
111	1987.069321
112	1984.432183
113	1982.551722
114	1980.390352
115	1975.412429
116	1973.838315
117	1971.677749
118	1968.826312
119	1966.336129
120	1965.60519
121	1962.645895
122	1959.462813
123	1957.096935
124	1955.629694
125	1952.402666
126	1948.551592
127	1946.126512
128	1944.442753
129	1940.738022
130	1938.130619
131	1936.394005
132	1933.782121
133	1931.400016
134	1928.684708
135	1927.623376
136	1924.928626
137	1923.057683
138	1922.528877
139	1921.381382
140	1920.90911
141	1918.401186
142	1915.422015
143	1912.919595
144	1910.966657
145	1908.241613
146	1906.575143
147	1904.597302
148	1903.021174
149	1900.948059
150	1898.267787
151	1897.855036
152	1897.394153
153	1895.521334
154	1893.16685
155	1890.743873
156	1888.207655
157	1886.392869
158	1883.861968
159	1881.671566
160	1881.339001
161	1878.256358
162	1876.075437
163	1874.708471
164	1872.687026
165	1870.461421
166	1868.686434
167	1866.795176
168	1864.500263
169	1863.064393
170	1860.674702
171	1859.263028
172	1856.582122
173	1855.39641
174	1853.702807
175	1851.964953
176	1849.305021
177	1846.740321
178	1845.924784
179	1844.527393
180	1843.378848
181	1841.19676
182	1840.199347
183	1838.512582
184	1837.118274
185	1835.714406
186	1832.916763
187	1830.552262
188	1828.991172
189	1827.510035
190	1826.112653
191	1823.551507
192	1822.255515
193	1820.355136
194	1818.989758
195	1817.564807
196	1815.886319
197	1814.787363
198	1813.209476
199	1811.806826
200	1810.552492
201	1809.060333
202	1807.317404
203	1805.935042
204	1805.504701
205	1804.159231
206	1802.701104
207	1800.993357
208	1799.758872
209	1799.314861
210	1797.643664
211	1795.088304
212	1794.041466
213	1793.1535
214	1792.042029
215	1789.657484
216	1788.001476
217	1786.672943
218	1785.509875
219	1784.472333
220	1782.864544
221	1781.438163
222	1780.351567
223	1778.940254
224	1778.175422
225	1776.752252
226	1776.107959
227	1775.067207
228	1773.76869
229	1773.517489
230	1772.140756
231	1769.258857
232	1767.973488
233	1766.604292
234	1764.574716
235	1762.703716
236	1761.172793
237	1759.903389
238	1758.529728
239	1757.416547
240	1756.447697
241	1755.144938
